acc_id,acc_date,acc_state,acc_city,fix_port,source,bus_type,industry_sector,device_category,device_type,tradename_or_generic,manufacturer,num_injured,age_youngest,gender,acc_desc,injury_desc,report,category,mechanical,op_error,employee,notes
912063,4/7/2004,FL,Orlando,F,Florida Dept. of Agriculture,Family entertainment center,recreation,go-kart,Go-kart,go kart,,2,3,U,"A 25 year old female and 3 1/2  year old female were injured on a go-kart at Magical Midways, in Orlando, when the 25 year old female confused the brake and gas pedal and hit the wall.",The mother complained of neck and back pain and was transported.,,Collision: go-kart or bumper car hit stationary object,,,,There were no discrepancies found on follow up inspection.
917551,4/7/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,Mine Train,Arrow Dynamics,1,48,F,Patron entered station unconscious. Regained consciousness and was transported to the hospital.,,,Illness: Seizure or LOC,,,,
918375,4/7/2004,CA,Carlsbad,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Spinning cups/tubs,tea cups,Mack Rides,1,11,F,"Guest and her brother were riding the attraction sitting across from each other. During the ride cycle they were spinning the wheel, it went around one of the circles and the brother started sliding into the guest. He said that his arm just above his elbow hit his sister int he right wrist area. When she lifted arm up, she felt a pop and then had severe pain.",right wrist pain,,Collision: patrons collided within vehicle,,,,
912379,4/6/2004,MI,Alma,P,Michigan Dept. of Labor and Economic Growth,Carnival or rental,amusement ride,pendulum,Kamikaze/inverter-type,Demon Loop,,1,,U,Shoulder harness failed; pin sheared in harness. Rider was loose in seating area during operation.,Patron hit head.,,Equipment failure,1,,,
917523,4/6/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Car ride,car ride,In-house,1,29,F,Patron's vehicle was hit from behind by another guest during the attraction. Normal ride operation.,,,Collision: patron-controlled vehicles,,,,
912062,4/2/2004,FL,,P,Florida Dept. of Agriculture,Carnival or rental,amusement ride,spinning,Rotor/gravitron,Gravitron/Starship,"Wisdom Industries, Ltd.",6,,U,There was a catastrophic failure of a Gravitron ride.,"Of the five persons on the ride who were transported for injuries, one teenage female sustained head injuries and is still in the hospital in a coma with probable brain damage.  Two other teenagers on the ride sustained broken legs and two others sustained multiple bruises and abrasions.  The fourth was injured outside the ride on the midway by flying debris and then trampled by the panicked mob fleeing the area and a fifth person's mother called the police the next day stating her child was  in the crowd and had sustained an ankle injury.  She was apparently treated and released.",,Equipment failure,1,,,Administrative action is pending against ***. and the accident is still under investigation jointly with Miami-Dade Police Department.
918728,4/2/2004,CA,Los Angeles,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,mega coaster,Giovanola,1,30,M,"After the ride, guest complained of pain in his lower back. He described the pain as resulting from the pressure he felt while going down the first drop. He was transported to the hospital as a precaution.",lower back pain,,Body pain (normal motion),,,,
917728,3/31/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Boat ride,boat ride,In-house,1,3,M,Guest has neck pain after riding.,neck pain,,Body pain (normal motion),,,,
918867,3/29/2004,CA,Los Angeles,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Shoot the chute,shoot the chute,Vekoma,1,10,M,Guest alleges tingling and numbness to hands and claims he hurt his neck during final drop of the ride. He was transported to the hospital and released.,"neck pain, tingling and numbness in hands",,Illness or neurological symptoms,,,,
919620,3/29/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Track ride,dark ride,In-house,1,38,M,Guest reported right knee pain when the lap bar came down on his leg.  History of recent right femur fracture six weeks prior with metal rod in leg from hip to knee.,Injury to knee.  Transported to local hospital.,,Load/Unload: hit or pinched by restraint,,,,
911751,3/28/2004,TX,,F,Texas Dept. of Insurance,Family entertainment center,recreation,go-kart,Go-kart,go kart,,1,7,M,Hit by another kart,Pain,,Collision: patron-controlled vehicles,,,,Ice pack for head.
917305,3/28/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,looping coaster,Intamin AG,1,19,F,Guest felt chest and rib pain when the train she was in stopped before the end of the attraction in zone 8.,chest and rib pain,,Unscheduled stop,,,,
919282,3/28/2004,CA,Vallejo,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Sizzler/scrambler,Scrambler,Eli Bridge Co.,1,27,F,Patron was injured when she was getting off the ride and got her finger caught in the U-shaped bracket on the door locking mechanism.,Pinched finger.,,Load/Unload: hit or pinched by restraint,,,,"On each cabin door of this ride, there is located the lap bar and the lap bar mounting bracket.  Each lap bar has a pinch point at its base.  When the door opens, the lap bar is pulled away from exiting and loading guests, but the lap bar and pinch point are still within reach of guests.  The park elected to move the door and pinch point out of reach of the guests by moving the door stops further out on the ride frame.  This does not eliminate the pinch point, but puts it out of guest reach."
919286,3/28/2004,CA,Vallejo,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,steel sitdown coaster,Schwarzkopf  Rides,1,25,F,"After riding, patron complained she had injured her head and neck and had numbness in her arms and legs.",Injury to head and neck with numbness in arms and legs.,https://ridesdatabase.org/accident_reports/CA_919286.pdf,Illness or neurological symptoms,,,,"After multiple accidents related to head motion during the ride, state officials inspected the ride.  They found the last car had significantly more whipping action entering the first loop than the other two cars.  This was true for both trains, but the blue train had significantly more whipping action than the red train.  The state's report said that the park performed an accelerometer test on the ride, which was to be sent to regulators from the park's corporate headquarters.  The coaster was closed and sold out of the country at the end of the 2004 season."
919575,3/28/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Boat ride,boat ride,Arrow Dynamics,1,44,B,Guest reported chest pains and shortness of breath after riding.,"Chest pains, shortness of breath.  Treated and released at local hospital.",,Illness or neurological symptoms,,,,
911752,3/27/2004,TX,,F,Texas Dept. of Insurance,Amusement park,amusement ride,water ride,Rafting ride,rafting ride,Intamin AG,1,12,M,Struck by object.,Strain,,Injured by foreign object,,,,
911912,3/27/2004,MD,,P,Maryland Division of Labor & Industry,Carnival or rental,amusement ride,other attraction,Walk-through,Mardi Gras,Owens Trailers Inc.,1,1,F,Upon exiting the slide the father accidentally hit the baby's head (5 month-old) against the slide's support pole.,Cut on forehead,,Fall: in climb or play area,,,,
918744,3/27/2004,CA,Los Angeles,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Rotor/gravitron,Round Up,Frank Hrubetz Co.,1,29,M,The guest with a history of acid reflux disease was found sitting on the ground in front of ride complaining of nausea and dizziness. He was sent to the hospital.,"nausea, dizziness",,Illness or neurological symptoms,,,,
919860,3/26/2004,CA,Santa Clara,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,stand-up coaster,Bolliger & Mabillard,1,,U,Unknown,Unknown,,Unknown (not enough info),,,,
919514,3/25/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,wild mouse,Mack Rides,1,8,M,Guest's father alleges he injured his left foot while on the ride.,Foot injury.  Treated at local hospital.,,Unknown (not enough info),,,,
911753,3/21/2004,TX,,F,Texas Dept. of Insurance,Amusement park,amusement ride,coaster,Coaster - wooden,wooden coaster,Dinn,1,21,F,Jostled by ride.,Fracture,,Impact: hit something within ride vehicle,,,,Phone-in report only; not reported while at park.
911754,3/21/2004,TX,,F,Texas Dept. of Insurance,Family entertainment center,recreation,go-kart,Go-kart,go kart,,1,2,F,Cut by Pit area exit gate,Laceration,,Injured in queue or exit,,,,Ambulance
911755,3/21/2004,TX,,F,Texas Dept. of Insurance,Amusement park,amusement ride,vertical drop,Drop tower,Jumpin' Star,Zamperla,1,4,M,Sudden movement,Slip and Fall,,Unknown (not enough info),,,,
911756,3/21/2004,TX,,F,Texas Dept. of Insurance,Amusement park,amusement ride,water ride,Shoot the chute,shoot the chute,Intamin AG,1,16,M,Slipped on ramp while exiting the ride.,Strain/Contusion,,Load/Unload: scrape or stumble,,,,No confirmed outside medical.
917281,3/21/2004,CA,Riverside,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Tilt-a-whirl/waltzer,Tilt-a-Whirl,Sellner,1,6,M,"Guest ran to get on ride, tripped and hit his nose, receiving a small cut.",cut to nose,,Load/Unload: scrape or stumble,,,,
919574,3/20/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Boat ride,boat ride,Arrow Dynamics,2,17,B,Boats collided at the bottom of the first drop and patrons were evacuated.,One patron injured her right wrist.  One patron suffered from back and neck pain.,,Collision: operator-controlled vehicles,1,1,,"State officials found that at least one of the injured occurred during evacuation, when the operator failed follow proper procedure."
911758,3/19/2004,TX,,F,Texas Dept. of Insurance,Amusement park,amusement ride,coaster,Coaster - steel,inverted coaster,Bolliger & Mabillard,1,15,F,Unknown,General (light headed),,Illness or neurological symptoms,,,,
917996,3/19/2004,CA,Buena Park,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,Boomerang,Vekoma,1,15,F,"After getting off the ride, guest complained of leg and back pain. Her friends stated that she had a previous injury to tailbone.",leg and back pain,,Body pain (normal motion),,,,
918055,3/19/2004,CA,Buena Park,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - wooden,wooden coaster,Custom Coasters Int.,1,40,F,Guest indicated on 4/15/04 that she visited the park on 3/19/04 and injured her neck on ***.,neck injury,,Body pain (normal motion),,,,
911759,3/18/2004,TX,,F,Texas Dept. of Insurance,Amusement park,amusement ride,vertical drop,Drop tower,Jumpin' Star,Zamperla,1,6,F,Movement of lap bar and riders arms.,Caught by object,,Load/Unload: hit or pinched by restraint,,,,
911760,3/18/2004,TX,,F,Texas Dept. of Insurance,Amusement park,amusement ride,water ride,Flume ride,flume ride,"O.D. Hopkins Associates, Inc.",1,44,F,Rider units bumped.,Pain,,Collision: operator-controlled vehicles,,,,
911761,3/18/2004,TX,,F,Texas Dept. of Insurance,Amusement park,amusement ride,vertical drop,Drop tower,Frog Hopper,S&S Worldwide,1,8,F,Caught finger on gate latch when entering the ride.,Laceration,,Injured in queue or exit,,,,No confirmed outside medical.
911762,3/18/2004,TX,,P,Texas Dept. of Insurance,Carnival or rental,amusement ride,other attraction,Walk-through,Moscow Circus,,1,5,M,Walking on conveyer belt lost balance fell and hand was aught under belt,Red swollen slight abrasion/burn,,Entrapment or pinch-point,,,,
917974,3/18/2004,CA,Buena Park,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Paratrooper-type,Balloon Race,Morgan,1,6,M,"According to the boy's mother, the boy tried to ""hop"" into the ride unit, but he tripped and fell, landing inside the basket. He had a small laceration to his forehead that may need sutures.",cut to forehead,,Load/Unload: scrape or stumble,,,,
911763,3/17/2004,TX,,F,Texas Dept. of Insurance,Amusement park,amusement ride,coaster,Coaster - steel,inverted coaster,Bolliger & Mabillard,1,10,M,Sudden movement,Strain/sprain,,Abrupt stop/drop/lurch,,,,
